cwd,exit,items,ppid,pid,comm,timedelta,pid_timedelta,id_anomalies,num_id_anomalies
/home/matteo,-2.0,1.0,2312.0,2372.0,gnome-shell,0.004000186920166016,0 days 00:00:00.004000187,0.0,0
/home/matteo,-2.0,1.0,2312.0,2372.0,gnome-shell,0.0,0 days 00:00:00,0.0,0
/home/matteo,-2.0,1.0,2312.0,2372.0,gnome-shell,0.007999897003173828,0 days 00:00:00.007999897,0.0,0
/home/matteo,-2.0,1.0,2312.0,2372.0,gnome-shell,0.0,0 days 00:00:00,0.0,0
/home/matteo,-2.0,1.0,2312.0,2372.0,gnome-shell,0.0,0 days 00:00:00,0.0,0
/home/matteo,0.0,2.0,2312.0,2372.0,ibus-daemon,0.0,0 days 00:00:00,0.0,0
/home/matteo,0.0,2.0,2372.0,2376.0,ibus-dconf,0.09800004959106445,0 days 00:00:00.098000050,0.0,0
/home/matteo,0.0,2.0,2372.0,2377.0,ibus-extension-,0.013000011444091797,0 days 00:00:00.013000011,0.0,0
/home/matteo,0.0,2.0,2201.0,2378.0,ibus-portal,0.05799984931945801,0 days 00:00:00.057999850,0.0,0
/home/matteo,0.0,2.0,2201.0,2385.0,gnome-shell-cal,0.08100008964538574,0 days 00:00:00.081000089,0.0,0
/home/matteo,0.0,2.0,2201.0,2387.0,xdg-permission-,0.04500007629394531,0 days 00:00:00.045000077,0.0,0
/home/matteo,0.0,2.0,2201.0,2400.0,evolution-sourc,0.15999984741210938,0 days 00:00:00.159999847,0.0,0
/home/matteo,0.0,2.0,2201.0,2404.0,pipewire,0.12800002098083496,0 days 00:00:00.128000021,0.0,0
/home/matteo,0.0,2.0,2201.0,2405.0,wireplumber,-0.010999917984008789,-1 days +23:59:59.989000082,0.0,0
/home/matteo,0.0,2.0,2201.0,2406.0,pipewire-pulse,0.03900003433227539,0 days 00:00:00.039000034,0.0,0
/,0.0,2.0,711.0,2415.0,pkla-check-auth,0.09200000762939453,0 days 00:00:00.092000008,1.0,0
/,0.0,2.0,711.0,2418.0,pkla-check-auth,0.08699989318847656,0 days 00:00:00.086999893,1.0,0
/home/matteo,0.0,2.0,2201.0,2421.0,goa-daemon,0.054000139236450195,0 days 00:00:00.054000139,0.0,0
/,0.0,2.0,711.0,2423.0,pkla-check-auth,0.06499981880187988,0 days 00:00:00.064999819,1.0,0
/,0.0,2.0,711.0,2425.0,pkla-check-auth,0.05200004577636719,0 days 00:00:00.052000046,1.0,0
/,0.0,2.0,711.0,2427.0,pkla-check-auth,0.05900001525878906,0 days 00:00:00.059000015,1.0,0
/,0.0,2.0,711.0,2429.0,pkla-check-auth,0.06699991226196289,0 days 00:00:00.066999912,1.0,0
/,0.0,2.0,711.0,2431.0,pkla-check-auth,0.22300004959106445,0 days 00:00:00.223000050,1.0,0
/,0.0,2.0,711.0,2440.0,pkla-check-auth,0.0970001220703125,0 days 00:00:00.097000122,1.0,0
/home/matteo,0.0,2.0,2201.0,2442.0,goa-identity-se,0.09099984169006348,0 days 00:00:00.090999842,0.0,0
/,0.0,2.0,711.0,2444.0,pkla-check-auth,0.016000032424926758,0 days 00:00:00.016000032,1.0,0
/home/matteo,0.0,2.0,2201.0,2443.0,gvfs-udisks2-vo,0.0,0 days 00:00:00,0.0,0
/,0.0,2.0,711.0,2451.0,pkla-check-auth,0.0840001106262207,0 days 00:00:00.084000111,1.0,0
/home/matteo,0.0,2.0,2201.0,2452.0,evolution-calen,0.042999982833862305,0 days 00:00:00.042999983,0.0,0
/,0.0,2.0,711.0,2456.0,pkla-check-auth,0.056999921798706055,0 days 00:00:00.056999922,1.0,0
/,0.0,2.0,1.0,2457.0,sssd,0.009999990463256836,0 days 00:00:00.009999990,1.0,8
/,0.0,2.0,711.0,2464.0,pkla-check-auth,0.09599995613098145,0 days 00:00:00.095999956,1.0,0
/home/matteo,0.0,2.0,2201.0,2466.0,gvfs-goa-volume,0.15000009536743164,0 days 00:00:00.150000095,0.0,0
/home/matteo,0.0,2.0,2201.0,2474.0,gvfs-gphoto2-vo,0.13299989700317383,0 days 00:00:00.132999897,0.0,0
/,0.0,2.0,1.0,2475.0,sssd_kcm,0.002000093460083008,0 days 00:00:00.002000094,1.0,8
,,,,,,0.013000011444091797,,0.0,0
/home/matteo,0.0,2.0,2201.0,2477.0,dconf-service,0.0409998893737793,,0.0,0
/home/matteo,0.0,2.0,2201.0,2479.0,evolution-addre,0.04400014877319336,0 days 00:00:00.044000149,0.0,0
/home/matteo,0.0,2.0,2201.0,2487.0,gvfs-mtp-volume,0.056999921798706055,0 days 00:00:00.056999921,0.0,0
/,0.0,2.0,711.0,2498.0,pkla-check-auth,0.34400010108947754,0 days 00:00:00.344000101,1.0,0
/home/matteo,0.0,2.0,2201.0,2507.0,gjs,0.43400001525878906,0 days 00:00:00.434000016,0.0,0
/home/matteo,0.0,2.0,2201.0,2508.0,at-spi2-registr,0.029999971389770508,0 days 00:00:00.029999971,0.0,0
/,0.0,2.0,711.0,2510.0,pkla-check-auth,0.016000032424926758,0 days 00:00:00.016000032,1.0,0
/home/matteo,0.0,2.0,2201.0,2516.0,gnome-session-c,0.05499982833862305,0 days 00:00:00.054999829,0.0,0
/home/matteo,0.0,2.0,2201.0,2520.0,gsd-a11y-settin,0.02200007438659668,0 days 00:00:00.022000074,0.0,0
/,0.0,2.0,711.0,2524.0,pkla-check-auth,0.0410001277923584,0 days 00:00:00.041000128,1.0,0
/home/matteo,0.0,2.0,2295.0,2525.0,sh,0.006999969482421875,0 days 00:00:00.006999969,0.0,0
/home/matteo,0.0,2.0,2201.0,2521.0,gsd-color,0.023000001907348633,0 days 00:00:00.023000002,0.0,0
/,0.0,2.0,711.0,2530.0,pkla-check-auth,0.01399993896484375,0 days 00:00:00.013999939,1.0,0
/home/matteo,0.0,2.0,2201.0,2529.0,gsd-datetime,0.023000001907348633,0 days 00:00:00.023000002,0.0,0
/home/matteo,0.0,2.0,2295.0,2525.0,spice-vdagent,0.029999971389770508,0 days 00:00:00.029999972,0.0,0
/home/matteo,0.0,2.0,2201.0,2532.0,gsd-housekeepin,0.04900002479553223,0 days 00:00:00.049000024,0.0,0
/home/matteo,0.0,2.0,2201.0,2533.0,gsd-keyboard,0.032000064849853516,0 days 00:00:00.032000065,0.0,0
/home/matteo,0.0,2.0,2295.0,2537.0,sh,0.0279998779296875,0 days 00:00:00.027999878,0.0,0
